year,month,day,offset,meat,bread,onion,eggs,milk
2019,8,24,1,1,0,0,0,0
2019,8,25,2,1,1,1,1,1
2019,8,26,3,0,0,0,0,0
2019,8,27,4,0,1,0,0,0
2019,8,28,5,0,0,0,0,0
2019,8,29,6,1,1,1,1,1
2019,8,30,7,0,0,0,0,0
2019,8,31,8,0,0,0,0,0
2019,9,1,9,1,1,0,0,0
2019,9,2,10,0,0,0,0,0
2019,9,3,11,0,0,0,0,0
2019,9,4,12,0,1,0,1,1
2019,9,5,13,0,0,0,0,0
2019,9,6,14,0,1,0,1,0
2019,9,7,15,0,0,0,0,0
2019,9,8,16,0,0,0,0,0
2019,9,9,17,0,0,0,0,0
2019,9,10,18,0,0,0,0,0
2019,9,11,19,0,0,0,0,0
2019,9,12,20,0,0,0,0,0
2019,9,13,21,0,0,0,0,0
2019,9,14,22,0,0,0,1,1
2019,9,15,23,1,1,1,0,0
2019,9,16,24,0,0,0,0,0
2019,9,17,25,0,0,0,0,0
2019,9,18,26,0,0,0,0,0
2019,9,19,27,0,0,0,0,0
2019,9,20,28,0,1,1,1,1
2019,9,21,29,0,0,0,0,0
2019,9,22,30,0,0,0,0,0
2019,9,23,31,0,0,0,0,0
2019,9,24,32,0,1,1,1,1
2019,9,25,33,0,0,0,0,0
2019,9,26,34,0,0,0,0,0
2019,9,27,35,0,0,0,0,0
2019,9,28,36,0,0,1,0,0
2019,9,29,37,0,0,0,1,1
2019,9,30,38,0,0,0,0,0
2019,10,1,39,0,0,0,0,0
2019,10,2,40,0,1,1,1,1
2019,10,3,41,0,0,0,0,0
2019,10,4,42,0,0,0,0,0
2019,10,5,43,0,0,0,0,0
2019,10,6,44,0,1,0,1,0
2019,10,7,45,0,0,0,0,0
2019,10,8,46,0,0,1,0,1
2019,10,9,47,0,0,0,0,0
2019,10,10,48,0,0,0,0,0
2019,10,11,49,0,0,0,0,0
2019,10,12,50,1,1,0,1,1
2019,10,13,51,0,0,1,0,0
2019,10,14,52,0,0,0,0,0
2019,10,15,53,0,0,0,0,0
2019,10,16,54,0,0,0,0,1
2019,10,17,55,0,0,0,0,0
2019,10,18,56,0,0,1,1,0
2019,10,19,57,0,0,0,0,0
2019,10,20,58,0,0,0,0,0
2019,10,21,59,0,0,0,0,0
2019,10,22,60,0,0,0,0,0
2019,10,23,61,0,0,0,0,0
2019,10,24,62,0,0,0,0,0
2019,10,25,63,0,1,1,1,1
2019,10,26,64,0,0,0,0,0
2019,10,27,65,0,0,0,0,0
2019,10,28,66,0,0,0,0,0
2019,10,29,67,0,0,0,0,0
2019,10,30,68,0,1,0,0,0
2019,10,31,69,0,0,1,0,0
2019,11,1,70,0,0,0,1,1
2019,11,2,71,0,0,0,0,0
2019,11,3,72,0,0,0,0,0
2019,11,4,73,0,0,1,0,0
2019,11,5,74,0,0,0,0,0
2019,11,6,75,0,0,0,0,0
2019,11,7,76,0,0,0,0,0
2019,11,8,77,0,0,0,0,0
2019,11,9,78,1,1,1,0,1
2019,11,10,79,0,0,0,0,0
2019,11,11,80,0,0,0,0,0
2019,11,12,81,0,0,0,0,0
2019,11,13,82,0,0,0,0,1
2019,11,14,83,0,0,0,0,0
2019,11,15,84,0,0,0,0,0
2019,11,16,85,1,1,1,1,1
2019,11,17,86,1,0,0,0,0
2019,11,18,87,0,0,0,0,0
2019,11,19,88,0,0,0,0,0
2019,11,20,89,0,0,0,0,0
2019,11,21,90,0,0,0,0,0
2019,11,22,91,0,1,0,0,1
2019,11,23,92,0,0,0,0,0
2019,11,24,93,1,1,1,1,1
2019,11,25,94,0,0,0,0,0
2019,11,26,95,0,0,0,0,0
2019,11,27,96,0,0,0,0,0
2019,11,28,97,0,0,0,0,0
2019,11,29,98,0,0,0,0,0
2019,11,30,99,0,0,0,0,0
